county,state,msa,pmsa,pop.density,pop,pop.change,age6574,age75,crime,college,income,farm,democrat,republican,Perot,white,black,turnout
Elmore,AL,5240,,84,49210,21,6.6999998093,5,3990,12.8000001907,30853,2,30.5,55.7000007629,13.6000003815,76.9152603149,22.4324321747,41.4306030273
Escambia,AL,,,38,35518,-6.3000001907,7.5999999046,6.3000001907,1297,7.5999999046,22858,1.5,37.5,46.4000015259,12.6000003815,68.4892196655,28.2842502594,36.1056365967
Etowah,AL,2880,,187,99840,-3.0999999046,9.3999996185,6.5,6506,10.1999998093,27071,0.8999999762,48.4000015259,41.0999984741,10.1000003815,85.41065979,13.8211135864,42.5190315247
Fayette,AL,,,29,17962,-4.0999999046,8.6000003815,7.6999998093,1964,8.5,26002,1.7000000477,45.2000007629,42.5999984741,11.8999996185,87.5013885498,12.1924066544,47.1551055908
Franklin,AL,,,45,27814,0.400000006,8.6000003815,6.8000001907,1528,6.9000000954,22755,4.0999999046,50.2000007629,40.4000015259,9.1000003815,95.1427307129,4.4905443192,42.6332054138
Geneva,AL,,,42,23647,-0.8999999762,9.1999998093,7.5999999046,1254,6.8000001907,24989,5.8000001907,36.7000007629,49.0999984741,13.3999996185,87.4614105225,11.9423179626,41.7262229919
Greene,AL,,,16,10153,-7.4000000954,7.4000000954,8.1999998093,4049,10.3999996185,15663,4.6999998093,79.1999969482,16.5,4,19.363735199,80.5771713257,48.0744590759
Hale,AL,,,25,15498,1.6000000238,8.3000001907,7.6999998093,1645,8.8999996185,18272,4.5999999046,57.7999992371,33.2000007629,8.1000003815,40.3600463867,59.4528312683,38.863079071
Henry,AL,,,28,15374,1.7000000477,9,7.3000001907,3471,8.1999998093,27554,3.9000000954,43.0999984741,45.7000007629,10.3000001907,64.5115127563,35.0917129517,42.2726669312
Houston,AL,2180,,144,81331,11.6999998093,7.3000001907,5.0999999046,8269,15,29818,1.5,29.7999992371,58.2999992371,11.6999998093,75.6329040527,23.3047676086,36.5912132263
Jackson,AL,,,45,47796,-4.6999998093,7.5,5.0999999046,2465,8,25772,2.5999999046,56.2000007629,30.2000007629,13,93.5140991211,4.1174993515,39.5765342712
Jefferson,AL,1000,,591,651525,-2,8,6,8487,19.8999996185,31609,0.1000000015,42.0999984741,50.0999984741,7.4000000954,64.2058258057,35.0747871399,45.8745269775
Lamar,AL,,,26,15715,-5.0999999046,8.1999998093,7.5,0,6.1999998093,25506,3.2000000477,41.2999992371,47.2999992371,11.1000003815,87.8460083008,11.8485527039,43.894367218
Lauderdale,AL,2650,,122,79661,1.6000000238,8.3999996185,5.9000000954,3419,16.3999996185,29589,2,47.2000007629,40.7000007629,11.8999996185,89.830657959,9.6596832275,42.3745613098
Lawrence,AL,2030,,46,31513,6.8000001907,7,4.9000000954,1601,6.1999998093,25478,4.6999998093,54.9000015259,30.8999996185,14,77.9456100464,15.2254629135,36.7752990723
Lee,AL,,,148,87146,17.7999992371,5,3.5999999046,4879,25.2999992371,32596,1.1000000238,38.7999992371,47.5999984741,12.8999996185,74.4600982666,23.4170246124,40.7247619629
Limestone,AL,3440,,100,54135,23.5,6.5,4.8000001907,1922,13.8000001907,31739,2.4000000954,37.4000015259,45.7000007629,16.6000003815,86.1882324219,13.1652355194,39.8947067261
Lowndes,AL,,,18,12658,-4.1999998093,6.6999998093,6,2108,8.1999998093,18535,4.5999999046,68,25.7999992371,5.5,25.1619529724,74.703742981,40.6699333191
Macon,AL,,,40,24928,-9,8.3999996185,6.9000000954,6252,18,20096,2.7999999523,82.8000030518,12.8999996185,3.2000000477,13.8117780685,85.6065444946,35.149230957
Madison,AL,3440,,312,238912,27.5,5.5999999046,3.2999999523,2752,30.1000003815,39264,0.6000000238,36.0999984741,47.7000007629,15.8000001907,77.0982589722,20.1396331787,45.1354484558
Marengo,AL,,,24,23084,-7.3000001907,7.6999998093,6.9000000954,3680,11.5,23015,1.8999999762,50.0999984741,39.7999992371,8.1999998093,49.0123023987,50.8793983459,48.7090606689
Marion,AL,,,40,29830,-1.2000000477,8.1999998093,7,955,6.6999998093,22394,2.2999999523,46.5,42.9000015259,10.5,96.40965271,3.2417030334,44.4854164124
Marshall,AL,,,130,70832,12,8.1000003815,5.9000000954,3147,11.5,26135,2.2000000477,39,45.7999992371,14.1999998093,97.9232559204,1.5346170664,37.7188262939
Mobile,AL,5160,,316,378643,6.5999999046,7,4.8000001907,11758,15.5,27601,0.400000006,38.2000007629,50.7000007629,10.5,67.3069381714,31.130115509,37.9745559692
Monroe,AL,,,23,23968,6,7.0999999046,6.0999999046,2684,10.8000001907,26413,3.7000000477,39.7000007629,50.5,7.8000001907,59.7463302612,39.1021347046,40.6583786011
Montgomery,AL,5240,,272,209085,9.1000003815,6.6999998093,4.9000000954,8218,24.2000007629,32351,0.400000006,43.2999992371,47.2999992371,8.8999996185,57.1155281067,41.7590942383,41.2042961121
Morgan,AL,2030,,178,100043,15,6.9000000954,4.8000001907,4645,15.5,32912,1.3999999762,34.2999992371,47.9000015259,17.5,89.083694458,10.076666832,43.9590988159
Perry,AL,,,17,12759,-18.5,7.6999998093,8.1000003815,3593,11.5,16404,3.9000000954,63.9000015259,31.5,3.7000000477,35.2927360535,64.4172744751,45.5599975586
Pickens,AL,,,24,20699,-2.5999999046,8.6999998093,7.6999998093,1872,6.5999999046,22474,2.4000000954,46.5,44.5999984741,8.5,57.9834785461,41.7653045654,39.335231781
Pike,AL,,,42,27595,0,7.6999998093,6.9000000954,2364,14.3000001907,23735,3,41.9000015259,48.4000015259,9.1000003815,64.5551757813,34.6004714966,40.5616950989
Randolph,AL,,,35,19881,0.6999999881,9.1999998093,7.4000000954,2465,7.6999998093,23994,3.5999999046,40.7000007629,46.7999992371,11.3000001907,76.1430511475,23.5702438354,41.0039749146
Russell,AL,1800,,77,46860,3.9000000954,7.5999999046,5.0999999046,6297,8.1999998093,24642,1.2000000477,55.0999984741,35.5999984741,8.6999998093,60.761844635,38.6000862122,33.4805793762
St. Clair,AL,1000,,84,50009,29.2999992371,7.0999999046,4.5,1535,8.5,27388,1.6000000238,30.1000003815,57.5999984741,12.1000003815,90.2597503662,9.1203584671,43.2402153015
Shelby,AL,1000,,135,99358,61.7999992371,4.5999999046,3,1433,29,42549,0.8000000119,21.3999996185,68,10.3999996185,91.3011550903,7.7678699493,48.4762191772
Sumter,AL,,,18,16174,-4.0999999046,7.4000000954,7.1999998093,1655,11.1000003815,17881,3.2000000477,68.5,25.7000007629,5.5,29.4237670898,70.2918243408,43.4339065552
Talladega,AL,,,102,74107,1.7999999523,7.5999999046,5.3000001907,5857,10.1999998093,25225,0.8999999762,40.7000007629,48.2000007629,10,68.7789306641,30.7298908234,35.4406471252
Tallapoosa,AL,,,55,38826,1.2999999523,9.1000003815,7,3151,11.5,27247,1.2999999523,36.9000015259,52.7000007629,10.1000003815,73.386390686,26.3019618988,39.8083763123
Tuscaloosa,AL,8600,,116,150522,11.6999998093,6.5999999046,4.8000001907,8125,20,30135,0.5,40.5,47.2999992371,12.1000003815,72.6790771484,26.1602954865,38.5810699463
Walker,AL,,,86,67670,-0.400000006,8.1999998093,6.1999998093,2648,7.1999998093,25322,1.2000000477,50.2000007629,38.2999992371,11.3000001907,93.1609268188,6.509531498,43.644153595
Washington,AL,,,16,16694,0.3000000119,6.6999998093,5.3000001907,0,6.6999998093,23818,3.4000000954,49.5999984741,40.0999984741,10.1999998093,65.7960968018,27.6925849915,48.8918190002
Wilcox,AL,,,15,13568,-7.3000001907,8.3000001907,7.5,503,10.3000001907,15306,4.9000000954,64.8000030518,31.5,3.2999999523,30.9772987366,68.9342575073,39.0919799805
Winston,AL,,,36,22053,1.7000000477,8.1999998093,5.9000000954,1047,5.4000000954,22023,3.7000000477,33.7999992371,55,11,99.4195785522,0.2584682405,45.748878479
Aleutians East,AK,,,0,2464,62.5,2.0999999046,0.3000000119,0,12.8999996185,47188,0,,,,33.5633125305,0.6493506432,0
Aleutians West,AK,,,2,9478,47.0999984741,0.6000000238,0.3000000119,0,14.8000001907,34020,0,,,,67.1027679443,6.9845957756,0
Anchorage,AK,380,,145,226338,41,2.7000000477,1,6725,26.8999996185,50098,0,,,,80.7358932495,6.4257879257,0
Bethel,AK,,,0,13656,30.3999996185,3,1.7999999523,1466,13.1000003815,25570,0,,,,15.4144697189,0.4540129006,0
Bristol Bay,AK,,,3,1410,32.9000015259,2.2000000477,0.8000000119,5476,18.8999996185,57100,0,,,,63.4042549133,2.6950354576,0
Dillingham,AK,,,0,4012,32.2000007629,3.2000000477,1.8999999762,0,15.3000001907,30365,0,,,,25.3988037109,0.1994017959,0
Fairbanks North Star,AK,,,11,77720,52.9000015259,2.2999999523,1,8931,25.2000007629,41729,0.1000000015,,,,82.0265045166,7.1448788643,0
Haines,AK,,,1,2117,23.8999996185,6.0999999046,2.5,4134,17.6000003815,44141,0,,,,85.1204528809,0.0472366549,0
Juneau,AK,,,11,26751,45.2000007629,3.2999999523,1.7999999523,4040,30.7000007629,54088,0,,,,80.6324996948,1.091547966,0
Kenai Peninsula,AK,,,3,40802,72,3.7000000477,1.2999999523,7167,17.8999996185,48339,0.400000006,,,,90.8999557495,0.4975246191,0
Ketchikan Gateway,AK,,,12,13828,24.5,4.1999998093,2.4000000954,0,20.2000007629,51716,0,,,,81.8339614868,0.3977437019,0
Kodiak Island,AK,,,2,13309,43.2999992371,2.2000000477,1,9204,21.5,47600,0.3000000119,,,,69.7948760986,1.0143512487,0
Lake and Peninsula,AK,,,0,1668,24.7000007629,3.5,1.6000000238,0,14.3999996185,26630,0.400000006,,,,23.3213424683,0,0
Matanuska-Susitna,AK,,,2,39683,152.1999969482,3.2999999523,1.3999999762,9936,18.1000003815,45252,1.2999999523,,,,93.1103973389,0.7736310363,0
Nome,AK,,,0,8288,30.8999996185,3,2.0999999046,1627,13.8000001907,29795,0,,,,24.408782959,0.108590737,0
North Slope,AK,,,0,5979,55.5999984741,2.0999999046,1.2000000477,4536,14.1000003815,53167,0,,,,21.3079109192,0.6857333779,0
Northwest Arctic,AK,,,0,6113,31.5,2.5,2.0999999046,8070,11.8999996185,33318,0,,,,13.7575654984,0.1963029653,0
Prince of Wales-Outer Ketchikan,AK,,,1,6278,67.6999969482,2.4000000954,1.1000000238,6771,11.3999996185,42857,1.1000000238,,,,61.4686203003,0.1433577538,0
Sitka,AK,,,3,8588,13.8000001907,3.4000000954,2.2999999523,0,21.3999996185,49327,0,,,,74.0451812744,0.4541220367,0
Skagway-Yakutat-Angoon,AK,,,0,4385,23.5,3.5999999046,1.7999999523,0,15.8000001907,43693,0.8999999762,,,,60.4104919434,0.1596351266,0
Southeast Fairbanks,AK,,,0,5913,0.400000006,2.5999999046,1.2000000477,0,19,32121,1.7000000477,,,,78.9785232544,4.9044480324,0
Valdez-Cordova,AK,,,0,9952,24.8999996185,3.2000000477,1.3999999762,5947,18.5,52929,0.8000000119,,,,82.867767334,0.5727491975,0
Wade Hampton,AK,,,0,5791,31.7000007629,3.0999999046,1.3999999762,0,10.1999998093,22215,0,,,,5.9747886658,0.2072180957,0
Wrangell-Petersburg,AK,,,1,7042,14.1000003815,4.5,2.7000000477,3599,19.7999992371,49083,0,,,,78.7276306152,0.1562056243,0
Yukon-Koyukuk,AK,,,0,8478,6,2.7999999523,1.8999999762,0,13.8000001907,27432,0.400000006,,,,42.2741203308,1.0379806757,0
Apache,AZ,,,6,61591,20.7000007629,4,2.7000000477,711,8.5,16346,0.6999999881,61.4000015259,25.1000003815,10.8000001907,20.223733902,0.1623613834,29.6439418793
Cochise,AZ,,,16,97624,18.2999992371,8.1000003815,4.6999998093,4784,16.1000003815,26152,0.8999999762,38.2999992371,36.7999992371,23.7000007629,81.6643447876,5.2015895844,33.9568138123
Coconino,AZ,,,6,96591,37.0999984741,3.7000000477,2,6348,24.6000003815,30648,0.1000000015,44.2999992371,32.2999992371,22,64.0183868408,1.469080925,44.1221237183
Gila,AZ,,,9,40216,14.3999996185,12.1999998093,7.1999998093,3772,9.6999998093,24877,0.400000006,41,31.2999992371,25.3999996185,76.5267562866,0.2461706847,45.94688797
Graham,AZ,,,6,26554,20.7000007629,7.3000001907,5.3000001907,2396,11.3000001907,21754,1.2999999523,35,43,19.2000007629,77.5890655518,1.8904873133,36.5255699158
Greenlee,AZ,,,5,8008,-24.5,7.1999998093,4,1974,10.3999996185,29945,1.2999999523,42.7999992371,36.5999984741,20,85.3521499634,0.3496503532,49.4755249023
La Paz,AZ,,,3,13844,8.8999996185,12.1999998093,6.9000000954,3856,8.5,18771,1.2000000477,36.4000015259,32.2000007629,30,74.6532821655,0.8523548245,35.835018158
Maricopa,AZ,6200,,240,2122101,46.4000015259,7.4000000954,5.0999999046,8179,22.1000003815,36078,0.1000000015,32.5999984741,41.0999984741,25.2999992371,84.7942657471,3.4992208481,41.3190498352
Mohave,AZ,4120,,8,93497,89.8000030518,14.1999998093,6.5,6981,10.3000001907,27010,0.1000000015,32.5999984741,33.7000007629,31.2999992371,95.0126724243,0.3240745664,43.4409675598
Navajo,AZ,,,8,77658,19.7999992371,5.3000001907,2.9000000954,3943,10,21336,0.200000003,44.2000007629,32.4000015259,19.3999996185,44.0456886292,0.905251205,31.7262878418
Pima,AZ,8520,,75,666880,29.8999996185,8.1999998093,5.5,8362,23.2999992371,30985,0.1000000015,45.7000007629,34.5,19.2000007629,78.721206665,3.1182522774,42.2090911865
Pinal,AZ,6200,,22,116379,32.9000015259,8.8000001907,4.9000000954,5618,8.1999998093,23993,0.8000000119,42.0999984741,31.7999992371,25.1000003815,74.9439315796,3.1345860958,31.5684108734
Santa Cruz,AZ,,,26,29676,55.2999992371,6.6999998093,3.9000000954,5409,10.8000001907,24431,0.6000000238,43.5,37.4000015259,17.8999996185,74.6697692871,0.3268634677,27.227388382
Yavapai,AZ,,,14,107714,70.3000030518,15.1999998093,8.6000003815,3586,17.7000007629,26238,0.3000000119,30.7000007629,39.4000015259,27.6000003815,95.7220077515,0.2980113924,55.1599617004
Yuma,AZ,9360,,21,106895,54.2000007629,8.8999996185,4.9000000954,7861,12.6999998093,25648,0.5,37,41.5,20.3999996185,75.4965133667,2.8588802814,26.2360267639
Arkansas,AR,,,22,21653,-11.8000001907,9,7.8000001907,4664,10.3000001907,23091,4.6999998093,59,32.5,8,77.6612930298,21.8814945221,36.8540153503
Ashley,AR,,,27,24319,-7.4000000954,8,6.5999999046,4299,9.3000001907,25077,1.7000000477,61.4000015259,28.1000003815,9.6999998093,72.0054244995,27.2050666809,39.3396110535
Baxter,AR,,,58,31186,18.1000003815,16.5,12.6999998093,1328,10.3999996185,21545,1.7000000477,44.4000015259,35.9000015259,18.7000007629,99.2881393433,0.0128262686,50.4457130432
Benton,AR,2580,,125,97499,35.2000007629,10.8999996185,7,3568,14.3999996185,29887,3.7000000477,36.4000015259,48.7999992371,14.1999998093,97.4040756226,0.1271807849,44.3891716003
Boone,AR,,,49,28297,12,9.1999998093,8,1727,10.6999998093,24576,5.6999998093,42.4000015259,42.2000007629,14.3999996185,99.0847091675,0.0176697168,51.0195426941
Bradley,AR,,,18,11793,-16.1000003815,9.8999996185,8.8999996185,3849,9.8000001907,21644,1.8999999762,61.0999984741,30.6000003815,8.1000003815,67.9386062622,30.9336051941,41.0158576965
Calhoun,AR,,,9,5826,-5.8000001907,8.8999996185,7.5999999046,1599,7.4000000954,25048,2.2000000477,51.4000015259,38.7000007629,9.5,74.785446167,24.8369369507,46.3783035278
Carroll,AR,,,31,18654,20.3999996185,10.1999998093,7.9000000954,3220,11.6000003815,24262,7.8000001907,42.5999984741,39.9000015259,16.8999996185,98.7241363525,0.0321646817,47.4804344177
Chicot,AR,,,24,15713,-11.6000003815,8.1000003815,8.1000003815,5612,8.3000001907,16749,4.5,68.6999969482,24.3999996185,6.8000001907,42.5889396667,56.380065918,32.4508361816
Clark,AR,,,25,21437,-8.6000003815,8.6999998093,8,1184,17.8999996185,24098,2.4000000954,64.5999984741,26.8999996185,8,76.2420120239,22.9183197021,41.6196289063
Clay,AR,,,28,18107,-13.3000001907,10.8999996185,9.8000001907,1587,5.1999998093,19662,6.9000000954,68.5,23.2999992371,8,99.5802764893,0.0331363566,39.1008987427
Cleburne,AR,,,37,19411,20.2999992371,12.3999996185,8.5,2410,9.3999996185,22318,4.5999999046,51,35.9000015259,12.6999998093,99.3869476318,0.0309103094,51.4141464233
Cleveland,AR,,,13,7781,-0.1000000015,7.9000000954,7,662,7.8000001907,24469,4.0999999046,56,33.4000015259,10,85.8629989624,13.6100759506,43.413444519
Columbia,AR,,,34,25691,-3.4000000954,8.5,8.3000001907,1420,13.1000003815,23360,2.2000000477,48.2999992371,37.7000007629,11.1000003815,64.4739379883,35.0005836487,38.2196083069
Conway,AR,,,35,19151,-1.3999999762,9.1999998093,7.1999998093,1330,9.8000001907,24659,5,57.7999992371,32.0999984741,9.5,84.2723617554,15.0174922943,44.2848930359
Craighead,AR,,,100,68956,12.1999998093,6.8000001907,5.4000000954,5275,16.3999996185,27168,1.7999999523,54.4000015259,35.5999984741,8.8999996185,93.4639511108,5.4788560867,37.1193237305
Crawford,AR,2720,,75,42493,20.5,6.8000001907,5.0999999046,2785,7.5999999046,24391,2.0999999046,41.2000007629,42.5999984741,15.1000003815,96.4252929688,0.8801449537,38.0415611267
Crittenden,AR,4920,,81,49939,0.5,6.0999999046,4.5,5223,9.8000001907,25301,1.1000000238,56.5999984741,34.5,5,56.3727760315,42.8542823792,34.2577934265
Cross,AR,,,31,19225,-5.6999998093,7.5999999046,6.3000001907,2727,8,21988,4,58.0999984741,33,8.6000003815,74.6059799194,24.8738613129,36.3381004333
Dallas,AR,,,14,9614,-9.6999998093,9.5,8.8000001907,3701,8.8000001907,23156,1.1000000238,53.7000007629,37.0999984741,8.8000001907,61.0879974365,38.4647407532,40.8258781433
Desha,AR,,,21,16798,-17.6000003815,7.5999999046,7.1999998093,4655,10.3999996185,19786,3.4000000954,67.9000015259,22.7999992371,7,56.5543518066,42.4991073608,33.4623184204
Drew,AR,,,21,17369,-3.7999999523,7.0999999046,6.4000000954,1267,13.8999996185,22913,2.7999999523,59.5,30.7999992371,9.5,72.1400222778,27.3706035614,36.2600021362
Faulkner,AR,4400,,99,60006,39.2999992371,6.0999999046,4.5999999046,4482,17.8999996185,28455,2.2000000477,51.5999984741,37.5999984741,9.6999998093,91.0642242432,7.9625372887,42.0207977295
Franklin,AR,,,25,14897,3,9.1000003815,7.6999998093,1610,8.8000001907,22072,6,47.7999992371,37,14.6999998093,98.3016738892,0.6645633578,45.2171592712
Fulton,AR,,,16,10037,-0.1000000015,12.1999998093,9,1649,5.4000000954,18072,9.8999996185,59.7000007629,26.6000003815,13.3000001907,99.3225097656,0.0996313617,47.1854133606
Garland,AR,,,112,73397,7.9000000954,12.8999996185,9.1999998093,5498,14.1999998093,25268,0.6999999881,52.2999992371,35.7999992371,9.6999998093,90.9710235596,7.6351895332,49.0415153503
Grant,AR,,,23,13948,10.8000001907,7.0999999046,5.6999998093,2615,9.3000001907,28313,1.7000000477,51.5,36.7000007629,11.3000001907,96.7235412598,2.7028963566,44.4364776611
Greene,AR,,,57,31804,6.5999999046,8.6000003815,6.9000000954,3250,9.1000003815,23346,3.7999999523,61.2000007629,28.5,9.8000001907,99.4434661865,0.0628851727,38.7435531616
Hempstead,AR,,,30,21621,-7.4000000954,8.3999996185,8.1999998093,5670,9.3000001907,20649,3.0999999046,61.4000015259,26.7999992371,11.5,68.8589782715,29.8968601227,41.2654380798
Hot Spring,AR,,,43,26115,-1.5,9.6000003815,7.0999999046,2713,9,22546,2.0999999046,59.4000015259,28.6000003815,11.3999996185,88.3247146606,10.9707069397,40.6509666443
Howard,AR,,,23,13569,0.8999999762,8.6000003815,8.6000003815,2075,8.3000001907,25308,8.1999998093,55.5999984741,34.7000007629,9.3999996185,77.4117507935,21.5122699738,36.6644554138
Independence,AR,,,41,31192,4.8000001907,8.1000003815,6.5999999046,3098,10.3000001907,24699,3.7999999523,55.2000007629,33,11.1999998093,97.2813568115,1.9075404406,41.1644020081
Izard,AR,,,20,11364,8.6999998093,14.3000001907,11.6000003815,305,9.3999996185,20429,6.3000001907,61.2000007629,27.3999996185,10.8000001907,99.1376266479,0.0967969,49.1728248596
Jackson,AR,,,30,18944,-12.3000001907,9.5,8.1999998093,2286,6.6999998093,20919,3.7999999523,65.6999969482,24.7999992371,8.8999996185,84.8870391846,14.5639781952,39.7170600891
Jefferson,AR,6240,,96,85487,-6,7.5,6,7277,14.6000003815,26360,0.6999999881,68.8000030518,23.7000007629,6.5,56.0061759949,43.1375541687,37.072303772
Johnson,AR,,,28,18221,7.3000001907,9.1999998093,8.1000003815,2899,12,21345,4.5,52.0999984741,33.7999992371,13.3999996185,96.7674636841,1.6958454847,41.5893745422
Lafayette,AR,,,18,9643,-8.5,9.1999998093,8.5,1305,6.9000000954,18428,3.9000000954,57.0999984741,29.8999996185,12.6999998093,61.0183563232,38.4838752747,41.263092041
Lawrence,AR,,,30,17457,-6,9.8000001907,8.8999996185,1062,6.0999999046,19917,4.4000000954,59.7999992371,30.7000007629,9.1999998093,98.6595611572,0.5040957928,39.6918144226
Lee,AR,,,21,13053,-17.1000003815,8.3000001907,7.4000000954,4655,7.4000000954,14213,4.1999998093,67.8000030518,25.5,6.0999999046,41.7451934814,57.3584632874,38.811000824
Lincoln,AR,,,25,13690,3.9000000954,6.0999999046,5.9000000954,767,5.5999999046,22680,3.4000000954,64.5,26.2999992371,9,62.8999252319,36.048210144,31.7531051636
Little River,AR,,,26,13966,-1.7999999523,7.6999998093,6.4000000954,2895,8.1000003815,26314,4.9000000954,58.2000007629,25.8999996185,15.6000003815,77.4738616943,20.9866828918,40.9422874451
Logan,AR,,,29,20557,2.9000000954,9,8,1099,6.8000001907,22227,5.5999999046,46,39.2000007629,14,97.6942138672,1.3280147314,42.2581100464
Lonoke,AR,4400,,53,39268,18.5,6.5,5.0999999046,2236,10,28007,3.7000000477,50.2999992371,39.5,9.8000001907,90.137008667,9.0047874451,40.2974433899
Madison,AR,,,15,11618,8.3999996185,9.1999998093,7.1999998093,998,8.1999998093,20929,13.6999998093,45.7999992371,42.4000015259,11.3000001907,98.4248580933,0.0258220006,45.4208984375
Marion,AR,,,21,12001,9.8000001907,13.5,9.3000001907,1140,8,20745,6.6999998093,44.0999984741,32.4000015259,21.2000007629,99.1500701904,0.0499958321,52.0373306274
Miller,AR,8360,,62,38467,2.2999999523,7.8000001907,6.1999998093,9636,9.5,25345,1.6000000238,48.2000007629,36.0999984741,15.3999996185,76.5955200195,22.4218158722,38.0144004822
Mississippi,AR,,,61,57525,-7.5,6.5,5.1999998093,7389,10.5,21467,1.7000000477,62.9000015259,29.3999996185,6.0999999046,70.7327270508,27.8244247437,27.7479362488
Monroe,AR,,,18,11333,-22.6000003815,9.6000003815,8.3999996185,3376,8.3999996185,17892,4.1999998093,60.2999992371,31,8.3000001907,60.5488395691,39.0187950134,37.695224762
Montgomery,AR,,,10,7841,2.5999999046,11.3999996185,8.5,1972,7,19523,7.8000001907,51.2999992371,32.5,15.5,98.4313201904,0.1020278037,47.3409004211
